🔥测试源,#genre#
辽宁卫视,http://58.19.252.68:1111/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://58.19.252.68:1111/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://58.19.252.68:1111/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://58.19.252.68:1111/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰卡通,http://58.19.252.68:1111/tsfile/live/1031_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰纪实,http://58.19.252.68:1111/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0
快乐垂钓,http://58.19.252.68:1111/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&authid=0
风云足球,http://58.19.252.68:1111/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
第一剧场,http://58.19.252.68:1111/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&authid=0
CHC家庭影院,http://58.19.252.68:1111/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0
CHC动作电影,http://58.19.252.68:1111/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&authid=0
CHC电影,http://58.19.252.68:1111/tsfile/live/1038_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226163/1.m3u8

CCTV2,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226122/1.m3u8

CCTV3,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226165/1.m3u8

CCTV4,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226124/1.m3u8

CCTV5,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226146/1.m3u8

CCTV6,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226148/1.m3u8

CCTV7,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226143/1.m3u8

CCTV8,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226167/1.m3u8

CCTV10,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226169/1.m3u8

CCTV11,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226145/1.m3u8

CCTV12,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226126/1.m3u8

CCTV13,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226128/1.m3u8

CCTV14,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226150/1.m3u8

CCTV15,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226147/1.m3u8

CCTV16,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226120/1.m3u8

CETV1,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225775/1.m3u8

CETV4,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226153/1.m3u8

北京卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225724/1.m3u8

天津卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225742/1.m3u8

河北卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226107/1.m3u8

山西卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226113/1.m3u8

内蒙古卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226011/1.m3u8

辽宁卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225747/1.m3u8

吉林卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226149/1.m3u8

黑龙江卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225722/1.m3u8

东方卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226106/1.m3u8

江苏卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225720/1.m3u8

浙江卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225727/1.m3u8

安徽卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225739/1.m3u8

东南卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225745/1.m3u8

厦门卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226008/1.m3u8

江西卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225740/1.m3u8

山东卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225733/1.m3u8

河南卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226132/1.m3u8

湖北卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225729/1.m3u8

湖南卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225726/1.m3u8

广东卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225731/1.m3u8

深圳卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225728/1.m3u8

广西卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226130/1.m3u8

海南卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226154/1.m3u8

重庆卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226171/1.m3u8

四川卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226152/1.m3u8

康巴卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225773/1.m3u8

贵州卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226173/1.m3u8

云南卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226151/1.m3u8

西藏卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226012/1.m3u8

陕西卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226086/1.m3u8

甘肃卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226090/1.m3u8

青海卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226105/1.m3u8

宁夏卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226092/1.m3u8

新疆卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226088/1.m3u8

兵团卫视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226111/1.m3u8

CGTN英语,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226016/1.m3u8

上海新闻,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226136/1.m3u8

上海都市,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225749/1.m3u8

法治天地,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225994/1.m3u8

至臻视界,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225687/1.m3u8

咪咕视频,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226080/1.m3u8

生活时尚,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225768/1.m3u8

乐游频道,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226157/1.m3u8

游戏风云,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226140/1.m3u8

东方影视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225744/1.m3u8

都市剧场,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226155/1.m3u8

欢笑剧场,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225771/1.m3u8

第一财经,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225737/1.m3u8

东方财经,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226134/1.m3u8

